txn_id,sender_id,receiver_id,amount_inr,txn_time,mode,bank_ref
1,13,2,21653.42,2025-01-01T08:06:13,CASH,ZAMT8477596555535669
2,13,17,66791.76,2025-01-01T12:04:08,CASH,QMNL2683415599910157
3,42,76,45622.41,2025-01-02T11:09:21,CASH,UZTT9663618637159741
4,24,19,52435.51,2025-01-02T11:54:02,CASH,TJKC0162249998279501
5,4,43,71161.23,2025-01-02T11:58:26,UPI,RMYT8221053161177687
6,2,49,24730.28,2025-01-02T17:34:36,IMPS,KQWH2067998136462251
7,33,15,67820.75,2025-01-03T21:48:23,CASH,UAFK1762983347743326
8,2,30,49499.72,2025-01-04T16:15:47,RTGS,YHTC0257432630397524
9,49,75,52736.22,2025-01-05T19:48:41,UPI,CHSQ9868180978875439
10,52,12,68261.49,2025-01-06T19:49:25,NEFT,UYUE1476492515837767
11,1,40,47409.75,2025-01-07T19:27:20,NEFT,ZVZE8993160875243772
12,18,39,24376.55,2025-01-08T13:54:20,UPI,YWIR8899210752245933
13,53,45,53068.58,2025-01-08T14:41:19,CASH,CWCJ1520850769864079
14,61,74,44078.12,2025-01-09T09:25:32,RTGS,YWEY2783769389833146
15,68,65,13771.34,2025-01-09T11:18:02,CASH,BZWG6788127868669432
16,48,47,24504.59,2025-01-10T10:44:31,RTGS,NNLL8685127652892866
17,57,51,74120.53,2025-01-10T19:30:11,IMPS,RITV7916202232883774
18,10,36,30932.52,2025-01-11T08:16:52,NEFT,FOCP3962712863917410
19,1,79,57113.04,2025-01-12T10:49:04,CASH,CQNX2339220715116966
20,48,23,16068.97,2025-01-12T13:00:37,NEFT,KDLI8094047604409079
21,59,36,78549.42,2025-01-12T13:22:57,CASH,MQCF2595724461767929
22,74,51,49436.01,2025-01-12T15:42:16,CASH,ADJS5427707070578360
23,78,66,72721.53,2025-01-12T19:09:45,RTGS,LMLA4554781376742662
24,20,36,27462.62,2025-01-13T12:36:38,RTGS,FTDZ4504617357438421
25,52,32,9944.8,2025-01-13T22:19:44,CASH,FUXM1764750111178309
26,1,54,3684.67,2025-01-16T08:27:33,RTGS,PZZW1773180632543107
27,51,15,14152.96,2025-01-16T21:44:25,CASH,XPJT9564122031030372
28,61,65,10062.51,2025-01-18T12:01:17,IMPS,HWSO1895690705626085
29,56,55,64688.04,2025-01-18T19:46:59,NEFT,RONS9842673204413845
30,44,20,26054.72,2025-01-19T20:55:00,NEFT,WGYR7875357788116162
31,76,33,29625.14,2025-01-20T09:00:59,IMPS,UPCO0586509480141381
32,80,43,41421.55,2025-01-22T18:56:03,UPI,MLOT0552818325381793
33,13,75,42542.68,2025-01-23T13:18:10,CASH,AXDG8759271256638361
34,6,60,6319.04,2025-01-23T21:24:21,RTGS,GMBA4125777118372742
35,46,11,8539.91,2025-01-26T22:15:37,RTGS,HSNV4178996986091919
36,23,33,43222.4,2025-01-28T10:46:47,RTGS,UIUU9837354396273652
37,73,56,76803.17,2025-01-28T17:50:34,RTGS,JSKU1191818281979316
38,80,33,36962.09,2025-01-28T22:34:51,UPI,TPHG9776719903849830
39,41,40,73176.62,2025-02-03T19:20:39,RTGS,UFYM3475575225013948
40,49,33,9614.25,2025-02-04T12:18:09,IMPS,IYCE4620952004615265
41,29,49,62727.32,2025-02-04T12:33:46,NEFT,SZPD8594849102562588
42,60,58,57950.42,2025-02-04T12:49:37,CASH,EMNK7027937145211175
