call_id,caller_id,callee_id,start_time,duration_sec,cell_tower_id
1,30,66,2025-01-02T07:15:02,996,6963
2,75,46,2025-01-02T16:31:38,1756,8710
3,60,58,2025-01-02T18:53:18,187,2479
4,58,79,2025-01-03T07:16:13,1740,3449
5,78,33,2025-01-03T14:43:53,1792,1339
6,71,62,2025-01-03T15:24:08,888,4267
7,40,64,2025-01-03T19:32:29,523,4524
8,29,30,2025-01-04T20:21:45,997,2647
9,25,42,2025-01-05T08:34:01,410,2675
10,54,63,2025-01-05T15:05:02,504,9515
11,1,2,2025-01-06T08:47:59,1155,5001
12,5,12,2025-01-08T14:01:33,1008,1011
13,62,46,2025-01-08T22:14:04,571,7052
14,52,74,2025-01-09T12:26:32,248,2185
15,24,58,2025-01-09T21:29:16,493,5400
16,19,38,2025-01-10T09:22:59,935,5201
17,9,59,2025-01-10T13:02:50,438,1686
18,1,2,2025-01-10T13:23:56,136,5001
19,19,18,2025-01-10T22:44:53,314,8685
20,48,60,2025-01-11T09:53:48,329,1918
21,30,53,2025-01-11T22:45:58,1691,7246
22,52,47,2025-01-13T08:36:35,428,6939
23,32,20,2025-01-14T07:14:34,739,1157
24,10,51,2025-01-14T07:29:58,189,6129
25,57,59,2025-01-14T13:44:58,300,5945
26,8,32,2025-01-15T08:58:23,1473,4262
27,66,58,2025-01-15T11:32:26,965,1945
28,59,76,2025-01-16T10:16:04,813,4610
29,1,2,2025-01-16T19:43:19,691,5001
30,37,55,2025-01-17T10:01:24,327,1869
31,1,2,2025-01-17T10:16:30,1337,5001
32,62,78,2025-01-17T11:28:10,501,2263
33,76,28,2025-01-18T15:34:57,1135,8734
34,69,80,2025-01-20T08:42:06,1368,1323
35,77,69,2025-01-21T14:45:09,626,8032
36,41,18,2025-01-21T22:18:16,887,7628
37,1,2,2025-01-24T08:12:29,1535,5001
38,33,24,2025-01-24T17:50:18,1192,4164
39,64,79,2025-01-25T08:54:30,790,6167
40,1,2,2025-01-25T10:33:42,456,5001
41,35,74,2025-01-25T12:30:33,1364,8245
42,37,77,2025-01-25T12:40:31,929,1175
43,54,70,2025-01-26T18:44:57,1693,9796
44,67,59,2025-01-26T20:07:26,336,3428
45,16,2,2025-01-27T14:08:12,1716,7563
46,37,69,2025-01-28T10:27:08,571,6992
47,13,23,2025-01-28T16:23:51,1416,6123
48,37,46,2025-01-28T17:17:07,1667,7029
49,40,23,2025-02-01T11:44:00,365,9133
50,10,73,2025-02-02T13:36:34,336,3695
51,56,23,2025-02-04T11:15:12,1299,9625
52,38,54,2025-02-04T11:22:19,732,8460
53,78,19,2025-02-05T15:39:40,1228,9984
54,53,74,2025-02-05T17:41:04,951,8632
55,53,47,2025-02-05T20:41:37,549,5281
56,66,11,2025-02-06T07:40:04,461,4492
57,18,45,2025-02-06T19:33:08,1520,4648
58,5,74,2025-02-07T07:28:20,887,3481
59,71,53,2025-02-08T10:29:07,1356,3522
60,64,15,2025-02-08T11:24:29,789,9850
61,18,41,2025-02-08T16:07:11,794,3316
62,5,17,2025-02-08T18:23:24,1191,1530
63,18,53,2025-02-09T13:12:07,1775,7437
64,14,2,2025-02-09T14:32:47,1092,4621
65,31,60,2025-02-09T21:15:09,228,1829
66,42,32,2025-02-09T21:15:48,981,7209
67,69,71,2025-02-10T13:47:47,1516,6633
68,58,3,2025-02-10T14:25:44,528,6016
69,17,77,2025-02-10T19:41:50,702,3093
70,79,12,2025-02-10T19:45:46,1010,9612
71,49,75,2025-02-11T18:39:55,561,4066
72,62,29,2025-02-12T18:07:48,600,4705
73,63,58,2025-02-13T16:29:40,326,3745
74,44,24,2025-02-13T19:29:17,1741,7319
75,41,9,2025-02-13T19:35:20,1784,5525
76,71,37,2025-02-13T21:48:35,602,2946
77,8,32,2025-02-14T10:29:39,1276,1901
78,67,80,2025-02-14T14:30:22,1389,7305
79,62,63,2025-02-14T21:02:04,565,6148
80,38,44,2025-02-15T09:09:48,492,7511
81,16,18,2025-02-15T12:57:45,941,2438
82,70,8,2025-02-16T08:18:26,398,3218
83,22,38,2025-02-16T10:19:50,844,8715
84,74,67,2025-02-17T07:24:41,450,6175
85,68,47,2025-02-17T07:24:55,992,1713
86,10,38,2025-02-17T08:42:21,1599,3147
